기사 작성일,댓글 작성일,댓글 내용,좋아요,싫어요
20170101,20161231,휘재가 은퇴할 때가 된 듯...쯧쯧!,3167,22
20170101,20161231,이휘재님 겸손해지시길.,2488,25
20170101,20161231,기본이 안된놈이네,6697,57
20170101,20170101,박정희 일가는 사람을  죽여야  유지되는 귀신일가   꼭 박멸  뿌리를 뽑아버려야 할 더러운 가문,2172,9
20170101,20170101,...100프롭니다. 박씨 집안 고용인들은 생명보험 거부 당하겠네요,9821,41
20170101,20170101,와............,6279,33
20170101,20170101,헐...주변에서 이렇게 죽어나가는것도 쉽지 않겠딘,9947,53
20170101,20170101,이 집안 애들 무섭네.  심심하면 죽네.,33718,251
20170101,20170101,진짜 이 집안  귀태들의 집합소인가 소름 돋아 댓글도 못 쓰겠다,3593,17
20170101,20170101,닥그네의 저주는 무서버,7527,45
20170101,20170101,,5468,27
20170101,20170101,또?? 주변엔 의문사가 많네.,3435,11
20170101,20170101,노승일 고영태 박헌영의 신변 보호가 매우 위중합니다.,12157,48
20170101,20170101,이 분도 자살 당하셨나??,9574,45
20170101,20170101,또 의문사야 ㄷㄷ,30222,200
20170101,20170101,그들이구나  재수사 한다고 히니  시방새들,4158,18
20170101,20170101,으~~~  이건 또?,2539,12
20170101,20170101,으으 무서버 또 누가 쥑인겨?,7421,38
20170101,20170101,독극물 검사 약물검사 해봐라  청와대에서 나간걸수도 있다,3898,15
20170101,20170101,"죽이는 방법 영화 용의자에서 나오던데,,  혹시 진짜 그런,,??  헉!!",3264,13
20170101,20170101,햐~~무섭다.,2641,10
20170101,20170101,무섭네요---((,2799,13
20170101,20170101,냄새가~~~,3023,16
20170101,20170101,이거 완전 싸이코패스에 소시오패스,1097,59
20170101,20170101,미친 닭 제 정신이 언제쯤 될런지,2092,91
20170101,20170101,"도대체뭐하느거여,,이,??  ㅉㅉㅉㅉ",2192,81
20170101,20170101,주사 한방 나줘아 하는거 아녀...,765,49
20170101,20170101,찌그러져있지 좀!!,773,52
20170101,20170101,5000만이 다기억하는 비극적인  4월 16일  그날을  박그네는  기억이 안난다  어찌 이런 사람이 대통령이 됐는지  국민의 한사람으로서 정말 자괴감이 든다,11531,347
20170101,20170101,허걱!,8023,255
20170101,20170101,이제 좀 새해엔 안보고싶다.,3480,93
20170101,20170101,이 뇬은  괴물일거야,2689,97
20170101,20170101,뻔뻔한 그네,2801,90
20170101,20170101,신년회 인사에 티타임이라니.. 참..애들 말대로 노답이다,1039,57
20170101,20170101,새해  첫날부터   재수없게시리,959,54
20170101,20170101,상황판단능력...,2117,81
20170101,20170101,무슨낮으로?~~~,700,49
20170101,20170101,부른다고 가는 기자들은 뭐야? 역시 나라를 위기에 내 몬건 기자들이 한몫했지. 자~ 이제 갔다와서 어떤 기사를 쓰나 봐야지.,502,37
20170101,20170101,저기 기어간 인간들은 뭐하는 놈들이야?,912,56
20170101,20170101,미친ㄴ.... 티타임??,3261,96
20170101,20170101,"아직도 정신 못 차렷군,,",868,56
20170101,20170101,미친뇬 ㅉ퉤 ㄷㅣ졌으면 좋겠다,1979,91
20170101,20170101,닭장에 안있고 돌아다니냐,2940,95
20170101,20170101,기자들 이제 이런 자리는 그냥 무시하고 피해버려라.,959,19
20170101,20170101,약쟁이  가  오늘은  뽕  했나  ?,9116,147
20170101,20170101,헐 매국노,1944,35
