,text
208,"악성민원도 있지만 금융사 문제도 많다... 음주운전자가 신호위반해서 내 차를 들이받아 그쪽 귀책 100%로 차 수리했는데, 다음번 보험갱신하려니  내 차량 가치가 떨어졌다면서 자차를 안들어주려 하더라. 떨어진 가치로 라도 자차 들게 해달라니까 무조건 안되다 하다가 민원넣으니까 심사해서 받아주는거라면서 자차 들어주더라.."
209,"떼쓰면 다 해주고...떼 쓸줄 모르는 사람 억울해서 살겠나
정신 똑바로 차리고  안되는건 안되는걸로 해야지 왜 갑자기 되게하냐"
210,이걸 왜 해줌? 경찰을 불러야지
211,오.. 말 안하면 아무것도 안해주는가보네?
212,억압적인 분위기에서 성범죄는 은밀하게 진행될 가능성이 높다는 걸 보여주네요.
213,영국이나 일본이나 섬나라 미개인 들이네
214,서양이라고 별로 다르지 않다. 남자들 있는데는 다 똑같음. 다만 법적 처벌이 달라. 판사도 남자라 똑같다는 소리 듣기싫으면 법 좀 쎄게 때려라. 어디서 보니 우리나라 성폭력 법이 일본기준에 입각해서 만들어져서 이모양이라던데 맞는건진 모르겠네. 아는 사람이 댓글 좀 달아주라.
215,"영국 욕 적당히 하고 우리나 잘합시다.
우리나라 리벤지 포르노부터 걱정합시다"
216,"왜 정치인과 재벌들이 성범죄 저지르고도 뻔뻔한지

그 출발점이 바로 10대때 성범죄구만,

이미 1`0대때부터 권력과 돈을 가지면

성도 가질수 있다는 개념이 박혀버렸어."
217,"유럽에 대한 환상을 버려라.......
우리나라가 최고의 나라다!!!"
218,피해자의 행실이야 어떻든 어떻게 행동해도 피해를 받지 않을 권리는 누구에게나 존재합니다. 성폭행 문제를 성별이슈로 몰고가는것이야 말로 제일 바보같은 행동입니다. 얼마전 서당사건을 통해서도 남성도 충분히 피해자가 될 수 있음을 다들 인지하셨을 겁니다. 성폭행은 범죄이고 범죄는 규탄받아야합니다
219,"영국이 신사의 나라라지만, 그것은 말뿐이란걸 이미 알고 있었다."
220,"영국인들 실체는 야만스럽기로 유명하죠..

일본, 중국이 역사 왜곡하는것처럼  영국인들도 신사이미지를 억지로 만들어 전파했습니다.

우리 국민들이 경각심을 갖고 역사에 관심을 갖는게 어떨까요? ^^"
221,섬나라는 다 똑같구나. 일본이랑 다를게 없네? 일상생활에서의 강간문화
222,"외국은 성에 대해 개방적인게 아니라
성에 대한 개념이 없는것 같음.

답글 작성"
223,인도여?영국이여? 이건 뭐 다 강간의 왕국인건가
224,ㅋㅋㅋㅋ 제발 성욕좀 아 진짜 그놈의 성욕 자제를 못하냐
225,언론개혁이 시급하다
226,"코인했겠지. 적게는 두세배
많게는 50배도 벌었으니 주식하고는 차원이다름"
227,뭔가 한탕주의 기사네
228,"기자와 유투버가 동명이인인가?
아님 동일인물인가?

기사를 막 쓰네

채널 구독자 늘려 돈벌고 싶은가보네"
229,대한민국 언론 기레기의 현주소를 보여주는 아주 좋은  기사.
230,그리 잘하는데 20억벌고 끝? 한 십년후엔 500억 벌었다고 나오겠네. 유튜브는 왜하는지? 조용히 돈이나 더벌지?
231,한정수 기자가 본인 한정수를 인터뷰해? 아 진짜 ! 다음의 쓰레기 낚시질에는 한계가 없구나. 뻔뻔한 것은 인정!
232,운이 좋았네 정말로 ㅋ
233,한정수씨를 한정수 기자가 인터뷰했다니.  세상에  이런 우연이...쓰잘데기 없는 기사로 한탕주의 부추기지 마라.
234,"이런 어이없는 기사들때문에 지금 2030들의 인식이 왜곡되는거요. 기자양반 반성해야해. 진짜.
하락을 두려워 말라고? 그게 기사에서 나올 말이요? 결과론적으로 성공한 사람말고 반대인 기사도 써보시지? 
돈이 최고고 나만 이기면 된다는 저급하고 저질의 경제사상을 주입시키는게 언론의 역할인가?"
235,솔직히  기사 내용도 제대로 안봤지만 그렇게 잘나가면 유튜브도 하지말고  조용히  잘살아라
236,설령 모은 사람은  입닥한다
237,그대로 계속 투자하면 언젠간 다 말아먹는다에 한표... 카지노처럼 땃을때 털고 나오고 다시는 안가면 모를까.. 계속 가다보면 언젠간 말아먹는다.. 1년에 수십배를 불리는게 과연 투자일까 도박일까. 계속 해보면 알게된다.
238,기사쓰는 거하고는 바로 위에 주식투자 실패 용광로 자살 30대 기사가 있습니다.
239,호적보다 어린×  호적보다 적은○
240,"아흔이 넘으셨는데 뭐어때 건강하시기만 하면되지.
건강하세요 할머니"
241,일단 구십넘겨 장수하시는것 존경스럽다 온갖 사고 질환 다피하고 살아남으신거니 대단한거지. 오히려 젊은사람보다 건강하실것 만성질환도없으시단거니까
242,건강하세요^^
243,진주 할매 만수무강 하세요~~
244,저 나이에 주민등록번호가 중요하실까 건강하시면 됐지뭐
245,"우리 할머니보다 어리시당.
우리 할머니 빠른 22연생.. 코로나만 아니면 시골에서 100세잔치 하려했는데.. ㅠㅠ"
246,할머니 건강하세요♡
247,우리 할머니는 102세까지 사시고 작년에 소천하셨음
248,"일단 시나이가 96세 인데도 건강하신것도 다행이심 
70대후반만 되도 여기저기 아프신분도 많은데
할머니 건강하게 지내세요~~홧팅~~!!"
249,오래오래 건강사세요
250,할머니 건강하세요~♡
251,오래오래  건강하게사세요
252,할머니 꼭 건강하게 오래 사세요^^
253,할머니 아프지말고 사시는동안 행복하세요.
254,5년후에는 101살 이겠네 장수하시길
255,"공뭔 절대 편하고, 칼퇴근 하는 직업 아닌 거 알아야 합니다. 
79급 하급직 까짓것 1년이면 붙겠지 하고 달려들었다가 몇 년을 날리는 사람들 허다합니다. 
그나마 합격한 사람들은 만족할까요? 대면 민원처리 중 쏟아지는 전화민원, 온라인 민원, 일 안하려는 나이 많은 6,7급, 동물사체처리, 지역사회단체 응대, 폭우나 폭설 및 산불에 철야 또는 비상대기 및 조기출근. 그러고 돌아오는 건  국민연금보다 개인 기여금 몇 배나 많이 내도 세금 도둑이라는 국민욕받이. 일 똑바로 안하는 공뭔들 있는 건 사실이지만 추천할만한 직업은 아님."
256,9급 8 급은 건들지 말자 갸들은 뭐 굴려보고 싶어도 굴릴 거 자체가 없어요 사생활 침해만 될 뿐ㅎ 입직하면 새로 온 걔는 집이 몇 평이라더라 돈은 얼마 모았다더라 그럴 게 뻔한데ㅎ 이게 무슨 효과가 있을까 나중엔 아예 속옷 색깔까지 신고하라고 그러지 그르냐 공직기강 확립 차원에서
257,이제까지 좋았지~철통밥그룻
258,"제발 좀 사직 해 다오
공무원 못해서 이밤도 날 세우고 노력하는자
엄청많다 배부르고 등따신 소리 그만해라"
259,나이스 중소기업 느껴보자
260,10명 중 3명이면 여전히 선호되는 좋은 직업이긴하네
261,그래 제발 그만좀 둬라. 대신 열심히 일할 젊은 사람들이 줄서서 기다리고 있으니. 환영한다.
262,어서와~ 사기업은 처음이지? ㅋㅋ
263,"잘못한 건 공무원 아닌 공기업인 LH 직원인데, 소급 적용 처벌도 안하고 그렇다고 이미 그들에게 대박을 안겨준 신도시는 취소 안하네요. 더구나 상관도 없었던 공무원만 국민의 적으로 몰아 물타기 하려는데 정말 화가 납니다. 아니, 좋다구요. 투기와 상관도 없는 엄한 부서, 말단 직급까지 다 등록하면서 왜 국회의원, 도의원, 시의원은 빠지는건가요?"
264,사실 맞지.  지들이 잘못해놓고 갑자기 뭔 아랫사람 후들겨빼서 재물로 바칠려고...쯧쯧
265,"검찰 투입해서 수사 금방 끝냈으면 되는 걸,

한 달 넘게 수사하더니...

기본적으로 업무 관련자들만 체크하면 될 것을...

모든 공무원에 적용한다고?

이 정부는 개 잡는데 소 잡는 칼을 쓰네."
266,그만둬라. 니네들 아니어도 하겠다는 사람들 많으니까 배부른 소리들 하고있네
267,"어떤놈들이 감히 공무원님께서 이직하신다는데 말린단 말인가!

어서 이직 하시게 놔두거라!!"
268,"ㅋㅋㅋㅋ
건국이래 최고에 기분좋은 말이네
공무원들 제발 그래라!!
사법 행정 입법  이번기회에 물갈이 하자
그래야 뿔어터진 짜장면 안나온다"
269,하루삼천에서 사천명이 적다고... 중앙일보 미쳤냐...
270,마스크는 좀쓰고다녀 ....백신맞는다고  안걸리는건  아니잖뉘
271,"니는
거가
살어"
272,"기레기님 자 우리 초등학교 제대로 졸업하여 산수공부를 한 사람이라면
영국인구 6200만명정도
한국인구 5100만명정도

막 백신접종 성공하여 항체 가지고 방역의 성공을 이루고 있다고 기레기님이 칭찬하시는 영국은 
전국민6200만명 중 하루 확진자 3~4000명이죱?

대한민국은 5100만명 중에 최근 하루 확진자 3~500명..인데 큰일이라고 바싹긴장하고 있죠?

자, 초등학교를 정문으로 제대로 나온 기자님이라면 지금 어디가 방역이 더 잘 되고 있지요?
이거 못 맞춘다면 기자님 초등학교 뒷문으로 나온거죠?"
273,"1일 3, 4천명이라...

중앙기레기는 이 정도 산수가 안되나?
대한민국은 하루 몇명?"
274,"백신 접종하고도 영국은 하루 3000, 4000명 확진되는데.... 겨우 300, 400명 확진하는 울 나라는 뭐가 그리 잘못하고 있다고 국힘당은 난리인가..."
275,대한민국 국민이 자랑스럽습니다. 기자빼고
276,갸네 AZ 백신 맞았잖아. 화이자 안 맞고..  니들이 생난리쳐서 어르신들 안 맞는 거 어떡할 거냐?
277,"백신을 맞으면 보다 안전한 사회로 갈 수 있는데,

그 동안 언론들이 취한 행태를 보면 과연 공공의 안전를 위해 기사를 쓰는지 의심하지 않을 수가 없음."
278,하루에 3000-4000이면 잘하는거야?? 우리나라는 난리가 날텐데
279,"반전?
코로나 걸릴대로 걸리고,
죽을사람 죽고 난 이후가 그리 좋드냐
그리 좋으면 배양흐 바이러스 주사맞고
미리 걸리지 그랬냐"
280,하지만 아직도 하루 4천명씩 확진 나온다는 거
281,완전 미쳤네
282,우리나라 군대를 출동시켜서 점령하자
283,한국인이였음 니들 다 죽었다
284,이제는 유앤이 나서야 합니다
285,전두환이놈아  양심이  있긴하냐
286,미얀마의 민주주의를 지지합니다
287,전쟁이다. 자국민 보호를 위해 파병해야한다
288,"기자님은 기사 타이틀 잘 쓰시고 
독자들은 기사좀 제대로 읽읍시다. 
한국인은 아니잖아요
사람 목숨은 자국민이 아니어도 동등하지만.."
289,다국적군은 이럴때 좀 투입했으면..
290,미얀마 군부 철저히 응징해라
291,"미안먀의 군인들은 짐승보다 못한 악마들이네.
미얀마 민주주의 만세!"
292,이러니 위험 요소 제거하러 대한민국의 군부대가  투입되어야 한다하지.
293,미얀마 군바리들의 만행은 끝이. 없구나
294,국민들을 다 죽여가며 군부는 뭘 얻고자 하는걸까
295,"정신병자 아냐?  
인간이 아니구만"
296,인간이 제일 악한 생물인듯
297,저런 짓 하는 놈이 인간이냐. 정말 인간이하네... 동물학대로 꼭 처벌하라
298,짐승만도 못한 사람들이 왜 저리 많은지..왜 저러고 사나요?
299,자기보다 약한 존재를 존중할줄 알아야지 왜저럴까요.......... 더불어 모든 펫샵이 없어졌음 좋겠어요
300,"제발이 아이들구조해주세요
자자손손복받으실꺼예요"
301,"가지가지한다 진짜, 뿌린대로 거둔다는데
얼마나 큰 죄를 지은건지 제발 깨닫기라도하자
법은 법답게 개정 좀 하고"
302,이런말도안되는처참한모습의 개들을 보지않게되는날이오게되길ᆢ무슨천벌을받으려구 인간이 ᆢ
303,"맘이 아프다
인간도 똑같이 처벌 받아야 마땅하는데..
벌금 1억 걸어놔야 저지르지 않은 동물보호법 만들자!!"
304,뿌린대로 거둔다는 말이 있다 부메랑이 되서 돌아온다
305,"말못하는 동물들이 무슨죄!
사람이 죄다"
306,"벌레보다 못한 개농장 주인넘을
깜방 개줄에 묶어 놓기를"
307,생명을 함부로 대하면 안됩니다. 생명입니다. 제발 동물법 강화해주세요제발
308,사람답게 살자
309,생명에 대한 귀함을 전혀 못느끼는 존재들.  이래놓고 내가 살아야 하니 어쩔 수 없다 하지 말아라. 내 생명 귀하면 다른 모든 생명이 다귀한 것 모르냐?
310,한쪽에선 계속 구조하고 중성화시켜서 개체수 줄이려하는데 한쪽에선 계속 번식해서 잡아 먹고 이게 뭐하는 짓인지... 인간답게 삽시다 제발!
311,진짜못된것들이네.그불쌍한강아지들이진짜사람들이기심때문에꼭강력히처벌해주세요
312,"대한민국은 부정부패 없이는 부자가 될 수 없다  
이말이 진리다"
313,"국민의짐 의원이 왠일이랴... 그러다 내부 폭발날텐데.. 
여자 모 의원이 어마무시하게 딸 해먹었던데.. 스트레이트 보니.."
314,"저 미성년자들
부모 이름 밝히고,,, 조사해봐라..."
315,"참으로 대단하다. 가지가지 했네. 했어.
이러고서 나라가 망하지 않았다는 것이 기적일뿐이다. 
칼자루를 쥐니까 눈에 보이는게 없었구나.
국민들 눈, 귀, 입막아놓고 지맘대로 해먹었구나. 
불과 수년사이에 이런일이...이게 대한민국이 맞는거냐고."
316,걍 한국 망했으면ㅎㅎ^^
317,대한민국에 부자가 많다 생각했고 어떻게 해야 저런 부자가 될 만큼 돈을벌까 궁금했는데 반이상은 부정하고 부패한 방법으로 돈을 벌었구나 싶고 착실하게 살면 바보되는구나 절실히 느꼈다.. 이 분노를 어떻게 삭혀야 할까..
318,미성년자는 토주 주택거래 아예 안되는 걸로 법을 바꾸던지
319,"나라 꼬   라지하곤
돈 놓고 돈 먹기도 아니고 땅  놓고 부플려먹기 
전국  대회네 ㅠ"
320,난 저 부모들이야 말로 진짜 기득권 세력들이라고 본다.. 그 기득권 세력들이 어느 정당을 지지할까.. 부동산 투기하면서도 부끄러움이 없는 자들이 과연 문재인 정부를 지지할까..
321,"저런 부정부패를 저지르면 5~10배 환수법 만들어 처벌해야 한다.
대부분의 권력자들이 저럴진데 과연 일반국민들은 어떤 생각을 할까?"
322,생후 84개월 아기는 뭐냐 84일도 아니고..  정상적으로 증여했다면 문제없겠지만 과연 세금을 제대로 냈을까?
323,"월급타면 우직하게 적금내고 계산기 두들겨 가면서 살아봤자, 결국 돈이 돈을 버는세상이구나. 난 내 분수에 맞게 살아야겠다고 생각하지만, 이런 이야기 들으면 자괴감 든다"
324,법을 바꿔서라도 이런 돈 모두 환수하고  쳐넣어야 한다.우선 세무조사부터 해봐라.
325,"힘들어도 버티다 보면 이겨내지더라...
지금 당장에 죽을거 같고 그래도 어떻게든 이겨내지더라...
그러니까 악착같이 살자
살다보면 좋은날도 오고 좋은 사람도 오더라
그러니 죽지말고 살아보자..."
326,"귀한생명 살리셨네요 감사합니다.
아직 부모님들 같은 분들이 계셔서
살아갈수있지 않을까 싶습니다."
327,살다보면 웃는 날 옵니다. 부디 나쁜 선택 말고 살아줬으면..... 언젠가 세상 살만하단 생각이 드는 날이 오기를.
328,국회의원 및 정치인들은 청년들이 희망을 품게끔  정책을 내놔라.  맨날  뉴스에서 서로 못잡아 먹고 사리사욕 챙기고 정말 보는 것만으로  힘빠진다. 괴롭다.내자식들도 더힘들것같다.
329,훌륭하십니다.
330,장하신 일 해내셨 습니다   복 받으실겁니다
331,"힘냈으면 좋겠습니다. 도움 주신 분들도 감사하네요
20대들 자리 잡아야할 시기에 정말 힘들게 보내고 있는데 꼭 지나가고 웃는 날만 가득했으면.."
332,살면 살아집니다  힘내세요
333,"저 여성분이 겪은 고통의 시간의 깊이를 감히 이해할수
없어요  더 아프지않고 살기만을 바랄 뿐입니다.
굳이 힘이 나지 않을땐 힘내지 않아도 돼요
이 힘든 시국에 모두들 잘 견뎌보아요!"
334,"인간은 아무래도 진화를 잘못한거같아
왜 평생을 108번뇌에 시달리며 살아야할까"
335,힘내세요.  걍 살면 살아집니다.
336,"옛날에는 이런 기사보면 죽으려고 하는 사람들이 되게 이해가 안됐고 나약하다고만 생각했는데 요즘은 나도 곧 저럴 것 같아서 이해도 되면서 눈물난다.
술먹고 펑펑 울었다니...나도 어제 펑펑 울다가 잤는데.
가족들은 아무도 모르지만 ..휴 어쩌다 이렇게 되어버렸는지.."
337,좀 만 버텨보자 젊은이
338,가슴 찡...
339,힘내서  그냥살다보면  좋은날   올꺼에요
340,"어떻게든 살아보렴
왜이렇게 힘들게 했는지,,
눈물나고 미안하다."
341,나도 살기싫다...
342,"뭔 이런 악마가 다 있냐?
사형시켜라.  인간도 안다"
343,판사가 살인방조
344,"이런것들은. 중형에. 참해야해요.
제발 엄중한 처벌부탁해요."
345,가해자는 평생  세상과 단절 시켜야 한다~
346,미치겠다  법이  왜 이런지
347,"창원 이정현 판사님
고매하신 판사님께서 5 년뒤  꼭 저놈과  만나보세요
반성했다고 5 년으로 자비를 베푸셨으니
인간이  변했는지 확인해 보세요~"
348,반성문? 무슨반성. 감방간다고 하니까 반성문 쓰는거지. 초범이 저렇게 잔인하게 했는데 선처는 무슨. 왜 피해자는 1도 용서하지 않는데 판사가 맘대로 용서하냐구요.
349,"제발 만우절 기사라고 해줘 

초범이면 한 사람의 인생을 망가뜨려도 된다는 거야?"
350,죄질이 굉장히 나쁘고만 자백하구 반성문 내고 초범이라고 남에 인생을 말아 먹은 넘을 솜방망이 처벌하는 저 판사는 당최 재정신 인건가
351,법관놈들 그놈의 초범 참 좋아해.
352,"와 CV
요새 왜이리 사이코들이 많은거냐?
친부모가 애를 죽이지를않나 안만나준다고 일가족을 몰살시키질않나 지가 낳은애 한여름에 굶겨죽이질않나..세상이 미쳐돌아가네...
도대체 어디서부터 잘못된거지?"
353,"이건 살인보다 더 큰 범죄다.
형량이 너무 낮다.
무기징역 기대합니다."
354,"정말 
미친 xx인데 
5년이라니 
이게 말이나 됩니까
짐승한테도 못할짓을 친구라는 개 ××가 저질렀다...
법원은 있으나 마나"
355,"저게 5년 이라고
50년을 해야 하는거 아냐"
356,얼마나취했으면 ...손가락잘린줄도 모르지?아프지도않았나?아파서술이 확 깰것같은데..한심하다  술이랑손가락을바꿔서 장애인돼고
357,술은 모든일을 망치게하는 주범이다 적당히!!!!
358,아무리 만취했어도 손가락이 절단됬는데 그걸 모른다고? 집은 어떻게 찾아갔냐
359,레전드네 ㅋㅋㅋ
360,이제 다신 그렇게 술마시지마요..
361,기가차서 말이 안나온다....도대체 얼마나 퍼마셨으면 손가락이 잘린지도 모르고 40분을 걸었단 말이냐. 그나마 나머지 사지 멀쩡한거에 감사하며 다시는 술 마시지 마세여
362,얼마나 술이취했으면 자기손가락이잘려나가도 모를까
363,"절단 되면 바로 신호 오는거 아님?

술에 취했다지만 

어떻게 40 분 후에야 그 신호를 받음?

희한하네..."
364,참 한심하고 어이없어서  집에서 술  처드세요
365,"고통을 느끼지 못할 정도의 ""마취""상태였네."
366,"속상하네요
그놈의 술이 
어유 
몸조리 잘하시고
쾌유를 기원합니다 
경찰관님들
고생하셨습니다 
애쓰셨습니다 
감사드립니다"
367,적당히 마시지 얼마나 마셨길레 손가락 잘린줄도 모를까? 이해가 안된다.
368,술이 얼마나 취하면 손가락 절단된걸모르나요..? 술먹고 자빠졌을때 무릎까진걸로도 겁나아팟엇는데..
369,미쳤나벼 감각이 없나...
370,"우리나라에서 진행된 소송건은 어찌 되었는가?
소리 소문 없이 사라진겨?"
371,봤냐? 한명이 이리 무서운거다
372,맨앞에 나라 입력한하니. 기자야.
373,"🇻🇳  관심없다~~~~
🇲🇲  미얀마 국민들 화이팅 하세여~~ 응원합니다!!!"
374,껌찰총장하나가 대한민국을 쑥대밭으로  만드는구나
375,"한국에서도 베트남 것들 셋이 격리수칙 어기고 나갔다가 걸려서 발칵 뒤집혔었지.
진심 국민성 개똥이네."
376,일본이 위험한지대여
377,일본에서 옮아온거네
378,베트콩   안물 안궁
379,강남 모녀  구상권 소송 건  궁굼 하군요   ?
380,"빤스 교주 전광훈 무죄
새누리 교주 이만희 무죄

베트남이 괜찮은 나라군
미래가 있어"
381,항공사 승무원씩이나 되는 자가 자가격리를 왜 하는지 모르는 모양이네.
382,"이걸우리가  왜 알아야 되는데?  
기사는 써야 겠고
어휴.  진상들"
383,인간의 존엄성 과 생명의 귀중함을 모르는 인간이 무슨  서울 시장 하겠다고
384,"""존재 자체도 몰랐다"" (9일)
""현장에 안 갔다"" (26일)
""그게 중요한게 아니다.""(28일)
""내 마음에 없었다"" (29일)
""의식에 없었다"" (어제)
""그게 그렇게 큰죄냐""(오늘)"
385,"그래도 오세훈이 투표하는 인간들은
시장되면 재개발 재건축 밀어붙이면서 용산과 똑같이 때려죽이겠다는 건데 당해봐야 정신들을 차릴런가"
386,"10년 전 상태에 멈춰있는

오생태

세상 어떻게 변한 줄 모르고"
387,"서울 개 돼지들이 뽑아줄거다

이명박도 뽑고 박그네도 뽑은 개돼지들은

수십억 땅에도 수십억 아파트와 건물에도 하나도 분노하지 않거던"
388,"""용산만?
내곡동 땅 셀프보상 여당만 주장하면 그럴수도 있겠다! 왜 정치판이라

찾으면 언론뉴스 증거가 넘 많은데! 왜 숨기려는 것일까?

거기다
2010지방선거-서울시가 국토부에 요청한 공문을…서울시장직인까지 있는 서울시 공문까지 있는데

10년전 법정소송에 언론사 고소고발까지한 자가…기억 탓?을 한다

재판내용 결과 기래기한테 찾어볼수 없다? 왜지?

""오세훈처의 부동산50억 특혜""문건폭로,""서울시개입 안했다는 완전거짓""공문포함

출처-t.ly/0X94

""오세훈 처가땅 그린벨트해제 제안 SH공사가했다""

출처-t.ly/Tigb"
389,드디어...... 오세훈의 본색이 밝혀졌다..... 지지율 좀 오른다고.....  국민 죽여 놓고....  돌아가신 분들 대놓고 너희 잘못이다 하고 하니...... 인간이 아닌 짐승임이 드러난 것이다. //// 솔찍 민주당의 오만함도 싫지만...... 오세훈은 이명박 + 전두환의 후신이다. 용서가 안된다.
390,"지금 미얀마사태도 그렇게 바라 볼꺼냐?
진짜 재들은 안바뀐다니깐..."
391,"서울시민분들 정신차립시다. 저쪽 지지율이 더 높댑니다. 저쪽이 어떤당인지 벌써 다 까먹었습니까?
주변인들 독려해 사전선거 꼭 데려갑시다."
392,저걸 굳이 지 입으로 저렇게 말하면 뭐가 좋은거지? 못된놈이 멍청하기까지 하네.
393,"머리만 있으면 뭐하냐, 마음이 따뜻해야지,,, 저런게 시장되려고하니,참,,,,,,,,,,,,,,,,,,,,,,,,"
394,"아무리 보기 좋게 포장을 한들...본질은 바뀌지 않는 법.
스스로 몰락의 길로 가는구나..."
395,산발적 비리자. 감옥이 가까워 보입니다. 가족 전부요.
396,"박형준 어처구니 없는건 당신이다
자신 집도 없이 산다는분의 자산이 100억이 넘는다며???
다른 말로 물타기하지말고
검증이나 제대로하자"
397,"선택적 기억자~~ㅋㅋ
엘시티나 사찰은 기억이 안나나
다른건 기억이 잘나는 특이한 놈 ㅋ"
398,"민주당 헛발질은 잘못한 거지만 그런다고 당신의 비리가 사라지는 게 아니에요... 사찰을 승인한 게 없어지는 것도 아니고 엘시티 의혹이 풀리는 것도 아니고....

MB 나쁜 점만 고대로 배운 오세훈 박형준.... 시장 후보로 나오는 뻔뻔함은 배울만 하네요."
399,메인걸리는게 죄다 저것들 변명
400,참 부끄럽다. 너같은 놈이 제1야당의 후보라니. 어찌 두 놈 다 그러냐
401,"MB도 박형준 한테 한수 접어야 할판
그동안 MB 아바타라고 놀렸던 것 사과한다.
부동산 업계의 일대종사라 불려도 손색없는분
그래도 불법을 한만큼 죄값을 치러야지"
402,이사람은 시장이된다해도 다시재보궐선거 치를것같다~~
403,"오세훈이 어떻다고요? 박형준이 어떻다고요?
쌔빨간 거짓말 입니다. 여러분.
그들은 그러한 쌂을 살아오지 않았습니다.
그건 마 ~ 제가 정직하게 보증합니다.
등록금 마련하느라 허리가 휘었다... 임차평균 24만원이다... 측량장소에 내가 있었다는 게 본질이 아니다...
나는 서울에 집이 없다... 우리 아이도 집이 없다... 조국은 청년층에게 박탈감을 줬다...
국짐당의 비리는 당연한 욕망이고 그 수준에 미치지 못하는 민주당의 비리는 위선이라는 이중잣대로 보궐과 대선 국짐당 압승 밀어주씨면 마 언론+검찰+싸법부+사학+국짐 가즈~아."
404,"앤 mb보다 더 복잡해,,,,,,,"
405,"정권심판에 MB수하??
형준아 미안한데
박양은 뭘했지!!?명박이는??
심판??전두환때부터 있어온 비리가
이제 터진거뿐이야 LH비리는 그때부터 있다가
이제 드러난거야

네 양딸은 어떤 소득으로 20대에
그 집을 샀지!?증빙해"
406,"이런놈 입에서 정의 라는 단어가 나오고
뻔뻔하다 명바기처럼"
407,"이렇게 문제가 많은 후보를 본적이 없다
국힘당은 그렇게 인물이 없나?
참mb스럽네..."
408,뻔뻔하기가.. 인간인지싶다..
409,이건 우연히 기억이 나나봐 ? ㅋㅋㅋㅋ
410,"지나가던 30대 여성은 뉴스를 안봤나보네.
부산지역에 특혜 안 누린게 도대체 어디냐
드러난 것만
앨시티 두 채 특혜
조형물 납품 특혜
해운대 금싸라기땅 특혜
등기 등록 안한 건물
자녀 입학 청탁
특혜 아닌 걸 찾는게 빠를 듯..."
411,중앙일보는 언론을 병들게하는 바이러스다
412,"어떡하든지 현정권을 까내리고,불안감을 조성할려고 하는 중앙이 싫다.  그럴 시간 있으면  독도검정교과서 승인 통과시킨 일본 까는 기사나 내라  이 망할놈의  요미우리 서울지사 신문아~~"
413,중앙은 역시나 🐕 죠. ^^
414,"중앙 기레기야............... 인도가 인국가 몇억이냐??.......... 지금 세계 3위 감염국이다!

그나라에서 생산된 백신이.... 국경을 넘어서 나올수 있다고 생각하니???..... 정말 중앙일보엔 멍청이들만 있나보네??"
415,망해라 망해라 고사를 지내는 구만. 불쌍하다!!!
416,"6월초에 백신 쏟아진다
노바백스 한댤에 천만개 만들고
결국 스케줄대로 간다"
417,"중국 텐센트 돈 천억 받아 쳐먹고
설중화 같은  북한남파 간첩이 한국 민주주의 해줬다는
북조선의 형제 중국표 드라마나 만드는 jtbc의 본산 빨갱이 중앙일보

돈 천억에 넘어가 중국몽의 실현에 앞장서서 
한국 민주주의 훼손하고 중국 공산당 찬양하는 드라마나 만드는 중앙일보

중앙일보 사주의 아버지는 이승만때 4.19 의거로 부정선거 항의하는
어린 항생들의 가슴에 총을 쏘라고 발포 명령했던 바로 그 인간

토착왜구 짓으로 돈 벌더니
이젠 중국 공산당 편들어 동북공정에 협조하는
짐승만도 못한 매국노들이 모인 중앙일보는 반드시 몰아내자"
418,"80여 년
왜구잡종
강점용
안보, 지역, 이념, 의혹팔이와
사이비와 토왜 주장과 소원대로라면

1억 번
경제 폭망했고
전쟁 낫고
빨갱이 나라 됐고
온 국민이 역병 걸려 죽어야 했다
쓰레기들....."
419,그럼 만들지를 마
420,이 정도로 몸에 해로우면 제조/판매/유통금지 시켜야지...
421,"먹어란 말인냐 
먹지 말란 거냐.

특히 아이들이
좋아하는건데.

그리 심각하다면
판매하면 안되지

기레기들 기사보다
식품회사를 믿는다..."
422,독일 사람들도 오래 살던데말야...뭐냐...
423,"미국,호주사람은 전멸했겠네????"
424,작작해라
425,식당하는소상공인입니다 반찬으로햄반찬줄줄이햄볶을때는 뜨거운물에 살짝담가놨다가헹궈서봌아요그럼괞찮아요  근데삶아낸물을보면 정말손님들주기싫어요
426,미국이랑 독일 사람은 다 죽은겨??
427,독일을비롯해 유럽각국은 어째??다죽었게??똥기자야~~!!!!
428,국민학교 때 울 엄마는 나 죽으라고 비엔나 소세지 볶아서 케찹 뿌려서 도시락 싸준건가
429,가공육을 좀 건강한 재료로 만들면 안되나...
430,"입만 열면 구라네
진짜 토착왜구네

이러면서 감성팔이에  선전선동이니
이래서 좌파들이 문제야"
431,애쓴다
432,데일리안 = 국민의힘 ㅋㅋㅋ
433,추미애 도움연설하면 오세훈 더 좋아질낀데...
434,"박영선은 도쿄아파트 이야기만 나오면 이먕박정부때 남편이 탄압받아서 
일본으로 갔다고 했는데 그때부터 참으로 어이없는 거짓말이라고 느꼈었다"
435,"남탓은 이 정당의 정훈인가
그냥 무조건 전정권탓"
436,"기르에기 양반..
전직 대통령도 죽음으로 모는 정권이었는데..이명박때문에 옮겼다고 말하면 저 사람이 잘 살 수 있었을까?
좀 생각을 하고 기사를 씁시다!!"
