,text
38,남미는 뭔가 원초적인것 같음
39,여자교도소는  관리도 여성이 하게 해라  그럼 이런 추악한 성관계는 사라진다
40,하여튼 이 나라나 저나라나 되지 못하게 갑질 해대는 인간들이 꼭 있어.
41,지도자 잘못뽑아 아작난 나라!
42,저런걸 얘기하는건 아니지만 한국은 범죄자의 인권이 피해자의 인권보다 더 중요하게 보여서 바꿨으면 좋겠음
43,암튼 남미는  식민지스러워요..... 마약.. 섹스...
44,본능만 있는 짐승
45,"한국 페미들 수출해라.
니들이 얼마나 미투 갑질 좋은나라 사는줄 절실히 느낄거다."
46,"꼭 다현아빠가 잘못한거처럼 제목을 써서
봤는데 내용은 예절캠프의 행태에 대해썼네요
제목바꾸세요"
47,"다현이 아빠 김봉곤 훈장은 진천에 있다 
그런데 기레기는 김봉곤 훈장의 영향으로 
서당이 학폭이 되었다고 주장하였다

누가 보면 다현이 아빠가 그런 줄 알겠다
하여가 기레기하고는"
48,기사 제목에 비열함을 느낀다!
49,"왜들 예절을 배우는데 
청학동 가야 된다고 생각들 하지 ~???
청학동 예절이 예절의 기준이냐 !!!!!!!"
50,"김봉곤훈장은 지리산 청학동에서 옮겨
 지금 현재 충북 진천에서 서당 운영중인걸로 압니다.
지금 기사에 나온곳 아닌거같은데 기사에 관여된듯이 나오네요"
51,"김봉곤씨 말고 다른 서당이 있는걸 이제야 알았네...
망할 돈이 뭔지..."
52,다현아빠란 소린 왜 집어 넣었지? 기자야
53,"기자는 왜  다현이 이름을 들먹이는지...
김봉곤 훈장이 사고 난 곳이 아닌데 왜 뭐라 하는지요  너무 그라지 맙시다"
54,"김봉곤 훈장이 얘들 학대했나요???
왜 김봉곤훈장님을
거론하는건지?????????"
55,"토착왜구 언론 기사 제목 쓰는 꼬라지 봐라.
제목만 보면 ""다현아빠"" 예절캠프가 학폭을 저지른 서당인 줄 알겠다."
56,"야 이 기레기야 
니가왜 기레기란 소리 듣는줄알아
유명인 내세워서 마치 유명인이 그런거 처럼 조회수 높이려고
끼워넣은거 다알고있다

니가 진정 기자라면 양심을 걸고 기사를 써라

이러니 쓰레기만도 못한 기레기야소리듣는거야 이 기레기야"
57,"깜놀!
김봉곤 훈장이 운영하는 서당이 그런줄....
하여튼 기자란 
할 말이 없네요."
58,"서당이 문제가 생기는건
아이들 버려놓는 서당이 되어서 그렇다.

부모에게 외면당한 아이들이 유배되는곳..

서당은 돈받아 좋고 
사이 안좋거나 이혼한 부모들은 아이들 신경 안써 좋고

방치된 아이들은 점점 타락해가고..

예절교육시켜주는 줄 알고 순진한 아이들은 폭력에 당하는거고."
59,"뭐가 괜찮네 하면 
다음날 부터 우후죽순식으로 생겨나고
그로인해 가지가지 안좋은 행태들이 나타나고

서당만 그런것이 아니고
개신교/ 사이비종교/ 기타 종교들도 
지극하게 상업화로 변질되어서
종교로서의 의미는 이미 상실되어 있다
우매한 사람들이 진짜 신이 살아있다고 믿고
재산바치고 집압살림은 개판오분전이고
밥통에서는 구더기 나올것 처럼 더럽게 생활하면서
교회에서만 장로고 집사고, 선한척하는데
교회밖에 나오면 전혀 다른사람이 되는 신도들
그 모습이 참~ 웃긴다
신앙이라는 것 
이제는 신을 팔아 
온갖 거짓으로 점철되어 있으니...."
60,종양 기레기
61,기레기땜에 죄없는 순박한 아줌씨 죄인 아닌 죄인되겠네...   이렇고싶니? 불쌍한 노인네한테
62,중앙답다.
63,"너무한다 중앙일보 니네
너무 치졸하지 않니?
이런 수준의 기사까지 써야  먹고 사는거?
참나 ㅠ"
64,"유족 보상금과 성금을 전액 기부했다는 것도 
놀라운 일이지만
부사관 상사인데도 
금액이 2억도 안된다는게 더욱 더 놀랍다.
세월호,5,18과 비교하면
나라를 지키다 죽은 목숨 값은 너무나 씨구려다
이건 나라도 아니다!"
65,종양일보
66,"대통령과 영부인 더블민주당 혐오한다는
한명 한명의 목소리는 소중하게 기사화 시키는
언론들 작태 ....어딘지 안 봐도 비디오인데
친일세력에 빌붙어 살아온 많은 정재계 .역사가
그들에게 장학금 받은 학계 학자 방송인이
한둘이여야지 ㅠㅠㅠ"
67,"역시 제목만 봐도 딱이네
조중동 기레기들!"
68,"기사수준 저급하다..
이런 기사속에서도 김정숙여사님께서는 아주 따뜻한 면모가 빛나는것같다.. 대통령도 영부인도 사람이 참 좋으시다"
69,"이명박이가 저지른 일을
왜 엉뚱한 데 화풀이래?"
70,제목만 보고도 알았잖아. 중앙일보. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
71,도의적인 책임이 따르는거지 기사가 대놓고 저러는곤 좀아닌거같내요
72,오죽힘들엇으면하는 ...마음이드네
